"id","gender","age","agree1","agree2","agree3","often1","often2","open1","open2","other","multi"
11,"M",35,"Strongly Agree","Neither Agree or Disagree","Strongly Agree","Rarely","Never","Sapien enim suspendisse. Hac mus dis ac cum hendrerit consectetur amet. Aliquet iaculis netus ornare aenean ullamcorper class tempus, varius. Sit elementum ac orci gravida ligula. Mollis sit quam sed sit. Dapibus dictumst pellentesque, mollis in sit augue porttitor. Ut lorem taciti sit finibus pretium cras. Sed ultricies, mollis et hendrerit class purus a eros. Commodo tempor ac non malesuada mi cursus. Adipiscing dictum eleifend porttitor nibh ultrices. Pellentesque metus diam dui consectetur, molestie vel suscipit risus consequat. Nec est natoque habitasse. Duis natoque nisl, accumsan senectus pulvinar non.","Dolor cubilia mauris quam ligula egestas purus facilisis nibh sapien in bibendum mauris sit vivamus. Efficitur metus id, sed cras, enim nisi. Nullam tortor nec vestibulum sit litora. Penatibus tincidunt odio nisl vestibulum platea nostra, dignissim. Taciti, duis orci luctus non sollicitudin sed dolor vestibulum. Faucibus semper non vivamus potenti, faucibus diam. Molestie condimentum ut nec ridiculus. Tincidunt sed viverra montes eu magna purus ac elementum faucibus ac a, faucibus ipsum. Imperdiet duis sem, felis eu non tristique amet, eget at ac phasellus dictum faucibus. Ipsum gravida pulvinar suspendisse nostra libero imperdiet, maximus sapien, efficitur luctus quisque.","B",""
12,"F",23,"Neither Agree or Disagree","Disagree","Disagree","Never","Never","Facilisis vitae quam euismod, sem curabitur amet ac. Pellentesque tellus fermentum erat in est sit. Curabitur non ac quam quis? Egestas habitant at sed enim ac. Montes ridiculus duis lobortis nunc dui curae metus, orci. Mauris et et vehicula nisl, pharetra cras cubilia. Finibus potenti ac, ipsum suscipit quam praesent. Accumsan porttitor quisque, diam ad nulla sed diam odio aliquam leo. Justo, semper arcu proin eget dignissim nunc tempor lacinia. Mauris nunc integer sem in, aliquam pellentesque arcu.","Suspendisse tincidunt tempor cum aenean auctor torquent id vehicula sociis sed! Enim ut taciti nunc augue faucibus justo eu. Cum fringilla ullamcorper dapibus sapien, lacus. Lorem dapibus velit magnis sociosqu praesent, libero iaculis sociosqu. Hac scelerisque ipsum vel? Condimentum volutpat eu rutrum ut est felis. In ac duis ligula urna porttitor turpis, ut leo. Tempor urna cras enim inceptos vel aliquam non aliquet ultrices. Potenti, vel egestas, eget ac eros congue, integer dictum elit efficitur.","Strongly Disagree","MEX;UK"
13,"M",28,"Neither Agree or Disagree","Agree","Agree","Sometimes","Sometimes","Cum, faucibus nibh dictum pellentesque nunc laoreet, ante eget. Tellus, etiam aenean maximus himenaeos ac. Urna dapibus mauris eget rhoncus turpis, tincidunt. Elit nisl maximus etiam at ultrices. Platea augue a vulputate porttitor duis neque quam massa. Arcu ut vel, dis. Velit natoque fusce ornare tincidunt facilisis congue adipiscing eu eros consequat. Senectus sed donec condimentum lorem sagittis nec.","Per nisi dictum tortor. Vel tortor nisi pretium, nulla. Eros fusce in hac. Class augue nunc eu imperdiet curabitur natoque, hendrerit varius quis! Libero non eu elit amet vivamus. Himenaeos sed magna convallis vel. Sociosqu adipiscing pharetra egestas commodo netus justo massa dapibus fames eget rhoncus feugiat. Nunc class in vel inceptos platea. Finibus proin, in porta nam sit. Cursus accumsan nulla ut, metus varius quisque vehicula mattis vivamus mi vel pellentesque sapien. Convallis velit at rutrum mattis leo, elit sed primis per sit.","Neither Agree or Disagree","UK"
14,"F",59,"Neither Agree or Disagree","Disagree","Agree","Very Often","Very Often","Massa non in quis. Diam, quisque id. Condimentum, quis quis metus senectus suscipit nostra erat. Nulla quisque, duis in suscipit, purus rutrum. Nam ex bibendum ac imperdiet lacus, aptent lacus vel, arcu ac malesuada. Varius egestas nec. Nulla et. Dui fringilla per interdum velit lobortis euismod urna litora elit pretium. Eu libero curabitur eget neque tortor tempus sociis vivamus dis dis. Ac taciti pharetra ac eros mattis ac lacus feugiat penatibus. Inceptos hac facilisi ornare, non sed, ac cursus gravida vehicula.","Nisl erat cursus ridiculus egestas rutrum malesuada vitae, suspendisse. Mus tempus id luctus, vel tortor in eu. Curabitur taciti volutpat ut platea suspendisse nec. Bibendum in scelerisque arcu quam lorem rhoncus fusce justo arcu justo. Amet sollicitudin at a nec. Sed vel justo quam rhoncus vulputate. Sociosqu nibh suspendisse velit duis amet, nullam. Porttitor habitasse fermentum donec neque. Tempor fusce. Nunc, dolor mauris, et, metus et ad platea.","B","MEX;UK"
15,"M",38,"Disagree","Strongly Disagree","Disagree","Sometimes","Often","Nulla sit, ut rhoncus ut, primis leo quisque. Maecenas mollis dignissim a libero amet. Dui imperdiet integer, eget molestie posuere, nec. Eget in pellentesque, maecenas pulvinar, quis placerat sit, mauris finibus. Natoque quam sed ut ullamcorper suscipit metus quis erat, quam et lacus vitae sit? Donec sed sed ornare vestibulum, sed eget himenaeos. Sem sollicitudin auctor, porttitor rhoncus dictumst morbi hendrerit sollicitudin luctus turpis. Morbi urna vivamus at feugiat vitae augue. Interdum proin laoreet eget varius venenatis ultricies a eleifend.","Urna, arcu ut malesuada tortor in, pretium sollicitudin pharetra. Ex lacus viverra et ornare eu in. Eleifend blandit maecenas proin viverra sed maecenas ullamcorper magna semper proin accumsan et sollicitudin. Tempor in augue eget aliquet. Ligula donec, mi feugiat leo. Mollis habitant hendrerit, ut duis per, metus, potenti suscipit amet sit quam. Ornare ante ut urna nunc, nec feugiat. Iaculis praesent vel sed posuere parturient ligula phasellus elit elementum. In sed pretium platea mi augue, vehicula et.","Agree",""
16,"M",46,"Strongly Agree","Agree","Strongly Disagree","Never","Sometimes","Lorem justo tortor tellus litora nunc torquent. Tempor pellentesque. Porttitor sed nostra, mauris enim nisl molestie convallis penatibus dignissim nibh, eros. Lectus dui, tincidunt non phasellus. Est finibus orci sed ligula in tempor in non. Pellentesque diam vulputate nulla ac in porta. Sed magnis amet, aptent hac duis sit malesuada vitae, vestibulum, sed sem dapibus posuere? Erat placerat luctus laoreet dis! Sed est pharetra enim, ex amet dui. Ad amet elit nascetur neque odio nulla mauris proin vestibulum. Vestibulum fermentum nec fames sit.","Ullamcorper eu, vel primis ipsum sed auctor ut condimentum est. Auctor maximus ultrices felis lacus, nisl. Fringilla placerat vel eget justo consequat. Nunc risus sed donec commodo vitae facilisis sit, porttitor metus. Hendrerit pulvinar diam efficitur ut ac. In sapien velit ut eu pharetra finibus sed taciti. Tristique rhoncus viverra dapibus est penatibus non natoque amet tincidunt magna. Mollis nulla sit purus volutpat, montes. Montes cursus nunc augue laoreet consequat finibus. In, ex elit aliquam, non, eros tellus, lacus sollicitudin quisque, porttitor.","Disagree","US"
17,"M",39,"Strongly Disagree",NA,"Disagree","Often","Sometimes","Nostra potenti ut non arcu suspendisse non sem primis. Ut ligula et efficitur porttitor risus vehicula turpis eu. Ullamcorper donec in ut potenti, ac ac ut. Turpis molestie ultrices tortor, sed interdum, nec. Sed in egestas nascetur nisi sed dui in eu. Eros varius mollis eu id odio ullamcorper ridiculus vulputate blandit. Sapien vitae ac ut vitae, accumsan magnis vehicula donec viverra odio.","Vel, dolor gravida purus nostra, purus nullam blandit inceptos. Risus sed hendrerit aenean nam magna. Tristique eu amet vitae. Hendrerit nibh vel. Nascetur eu mauris lorem ac nulla convallis orci pellentesque. Mauris risus nec scelerisque maecenas faucibus ut sed vel dolor in ut eros. Magna curabitur dui id mauris tincidunt nam primis. Sed sed nulla congue est phasellus justo a efficitur.","Agree","US;UK;MEX"
18,"F",39,"Agree","Agree","Disagree","Often","Often","Laoreet integer, lorem suspendisse vulputate ac dui vel elit nunc dictumst. Dui conubia ac sed cursus pulvinar, senectus sed suspendisse sit purus sagittis. Felis lectus efficitur eu at tempor ut, sed velit, pharetra, ante consequat pellentesque ligula et. Neque nunc velit rhoncus convallis eu tortor vestibulum sit. Commodo condimentum fringilla ut. Morbi dolor eu tincidunt ut morbi urna et litora. Imperdiet faucibus sem sem per lorem tempor donec ac sapien. Ipsum odio est dui platea. Ut duis in tellus, iaculis libero felis at tempor enim. Mattis elementum eget, amet porttitor, tincidunt libero. Vel torquent dolor ornare netus est efficitur quis enim. Class convallis neque urna ligula tempor. Class purus nostra orci dignissim nisl porttitor gravida iaculis ipsum, velit. Aliquam in et penatibus curabitur facilisis maecenas.","Cras pellentesque nullam elit sed porttitor nec non nulla. Rutrum sagittis conubia, mauris, orci sociosqu tellus erat cubilia hendrerit at risus metus pellentesque. Nibh volutpat dui eu, sed ultrices nibh volutpat eget facilisis maximus. Praesent tortor id duis curabitur, bibendum maecenas est et per. Neque netus commodo, risus sagittis, velit purus, lacinia sed mi sed nulla, lectus. Dolor varius nostra sed sit, tincidunt lacinia eleifend ex integer sed. Nisl vel nec tellus in mauris maximus. Sed taciti cursus semper. Feugiat ut tortor, in quam odio.","Strongly Disagree","MEX"
19,"F",58,"Disagree","Neither Agree or Disagree","Strongly Agree","Very Often","Often","Convallis class suscipit fames magna sit sit, lacus. Ut et tellus ullamcorper donec vestibulum nulla ligula in est tortor rutrum. Cubilia quam euismod, platea feugiat. Leo sit non congue non arcu, magna erat vitae. Hac quam nunc, aliquam fringilla eget taciti vel. Himenaeos at primis lobortis viverra diam. Auctor nisi, tincidunt feugiat mollis consequat ipsum accumsan dolor id lectus vitae donec. Facilisis neque, non enim dictum faucibus. Mattis suspendisse quis aliquam phasellus vitae eget pulvinar. At pellentesque imperdiet tincidunt parturient dictum sagittis mattis vel lacinia. Venenatis torquent ut gravida eu dis, fusce ut ultricies interdum. Molestie eget eleifend ornare ligula ex facilisis a mi eget, tempus, elementum. Sem efficitur dictum ante, in accumsan sociis hendrerit eu aliquet. Sed eget rutrum neque, quis malesuada magna volutpat sociis risus, tristique ut.","Orci ante, tempor congue eu sed id tincidunt risus massa nam at platea, scelerisque. Convallis pellentesque dapibus proin curabitur venenatis vulputate justo ipsum. Et litora vulputate vulputate et ante. Vestibulum quis cubilia lacinia mus, pellentesque mauris feugiat suscipit. Sit, ornare convallis. Class tincidunt pulvinar nibh porttitor sit, et est eros risus. Parturient eget amet torquent sed sem sed interdum ullamcorper suscipit nunc nostra turpis. In, volutpat non. Non risus nullam ut augue magnis at magna nisl dapibus. Vitae conubia.","Disagree","UK;MEX"
20,"F",28,"Strongly Agree","Agree","Neither Agree or Disagree","Sometimes","Rarely","Ante augue. Magna ex a hac non ultrices, sollicitudin ante urna quam sapien. Turpis pretium urna consectetur nam, nisi. Duis cubilia nostra fermentum? Commodo condimentum suscipit sed ligula et ac vitae, sed auctor ut lectus dictumst. Nunc non, eu vestibulum non varius fringilla class in. Torquent ut suscipit arcu. Pharetra tortor ut ex imperdiet nulla ut et. Dui, in in sit enim, ut diam turpis blandit. Dui viverra turpis tortor in ut, litora leo dui, dui et blandit. Faucibus interdum vivamus arcu nisl ut imperdiet, tempus finibus lobortis. Bibendum luctus iaculis nec odio a torquent.","Sit, vestibulum interdum, sed, sed, nunc augue nisl enim sed. Sem lacus gravida proin, potenti primis tempus facilisi. Porta, porttitor lacus turpis per egestas? Sociosqu faucibus ut amet facilisi curae enim. Sed aenean vitae pellentesque, ligula curabitur. Eu suscipit donec nostra curae netus vestibulum ornare nunc lorem fames. Dui sed convallis imperdiet. Faucibus, curabitur porta malesuada at et, sed nisi. Finibus purus varius hac risus in. Dictum ad suscipit leo, tempus est rhoncus urna imperdiet ligula velit.","B",""
21,"M",56,"Strongly Disagree","Strongly Disagree","Strongly Agree","Very Often","Rarely","Nunc magna magna adipiscing, lectus cras arcu ac, nibh metus. Nascetur rhoncus viverra luctus sed suscipit aptent. Ac sed adipiscing inceptos nisi venenatis tempus. Ut aptent, sed felis purus. Per suspendisse vel ultrices porta, a nisl nisl. Orci, amet praesent eros ipsum nulla egestas sem, euismod, posuere laoreet sed. Ex maecenas dui ac sed amet. Dis inceptos class in, amet porta. Commodo tincidunt lacus, vivamus in. Duis eu sapien amet suscipit diam enim nostra. Justo, nec tortor sed nunc ex eros. Nunc rutrum nullam venenatis facilisi volutpat aenean. Sodales orci amet et nulla quam, ut, cum eget. Interdum velit quam a, leo. Mus ut ut, eu. Velit aptent dapibus vel sapien tempor donec sapien erat.","Condimentum finibus, posuere turpis scelerisque. Adipiscing aliquam blandit egestas adipiscing sit interdum tortor pretium taciti. Nulla magnis nullam, bibendum sed aenean efficitur, aliquam in posuere ac vehicula. Cum, amet, euismod sed mauris, dolor cras. Tempus viverra dapibus, nam purus. Eu dolor vestibulum conubia sem ornare habitasse nulla imperdiet habitant in. Eu blandit montes erat, libero justo eget arcu. Hac nibh ex condimentum mauris tincidunt, vitae. Vitae nec ornare tortor hendrerit fringilla enim molestie. Pellentesque turpis ut praesent eros lacus dapibus, non porta parturient. Eu tristique dui orci lorem neque ut tempor. Ut et urna nascetur eu quis ornare ac ad sem.","Neither Agree or Disagree",""
22,"M",58,"Strongly Agree","Strongly Disagree","Strongly Disagree","Never","Often","Molestie nulla. Nisl at tristique vulputate. Amet leo id, curabitur non lectus sit sed amet. Aliquet feugiat lorem praesent accumsan inceptos nibh. Lorem lobortis mauris libero, et. Dis nulla ultricies vitae sem fames sed egestas. Vitae amet, posuere, at ut sed et, sapien tellus purus. Mi vel. Leo augue eu libero quisque taciti magna diam posuere et odio, rhoncus nunc! Mollis auctor, facilisis ultrices sed sed justo sed sed iaculis.","Inceptos phasellus tortor hendrerit, proin quis vulputate etiam sodales dapibus. Vehicula maximus consequat ut torquent odio. Nunc tellus libero imperdiet metus nulla posuere suspendisse sagittis. Lacus faucibus, primis in in volutpat finibus tortor, cum. Facilisi sociosqu aptent nulla mi ultricies nunc ultricies metus. Non vestibulum laoreet arcu sem eros et pulvinar libero. Mus gravida tincidunt ipsum. Maximus turpis gravida pretium nec, sodales amet faucibus magna. Mus urna sed ante, rutrum finibus neque vestibulum commodo sed amet, malesuada convallis. Imperdiet vestibulum porta leo in suscipit, vestibulum ut primis sem. Non enim non magna purus lorem convallis at donec quis ut nulla enim nec. Justo, dapibus eu, parturient, ridiculus finibus penatibus inceptos, consequat nec ac. Eget faucibus commodo ipsum, felis mauris sapien. Sed ornare, nunc, sodales tristique aliquam taciti.","Disagree","UK;CAN"
23,"F",46,"Strongly Disagree",NA,"Strongly Agree","Sometimes","Often","Nam ex sed convallis ad fames velit nulla commodo venenatis. Enim nullam tempus integer himenaeos vel fermentum! Torquent suscipit massa massa tincidunt tortor suspendisse sed lorem. Felis at, lacus hendrerit volutpat adipiscing magnis magna ac ante. Sed lorem metus vestibulum est faucibus, curae sed nam. Quam sagittis odio nibh eu gravida nunc nunc adipiscing pharetra. Turpis at eu erat ut nunc. In est ipsum gravida feugiat, molestie facilisis magnis mauris iaculis. Nunc, aenean aliquam, nunc in ut. Hendrerit vehicula habitant lectus sollicitudin, ullamcorper vel tristique.","Non congue enim turpis, semper eget sed, nec tempor ac, ullamcorper, ac. Phasellus condimentum eros et sapien aenean mollis, nulla dignissim nullam velit magnis. Quisque, conubia ac primis in varius vulputate. Ante hac non ultricies a arcu curae facilisis. Scelerisque potenti, ipsum mollis, cras sed potenti, libero amet arcu at sit facilisis, rhoncus diam. Torquent, praesent, mi metus metus vitae donec. Integer sagittis nec, ut tempor ante interdum orci consectetur. Consectetur ex cum, vel nulla quisque tincidunt velit ut. Eu iaculis lacus quis in. In ut sed mi tortor natoque id sed pretium magnis. Aliquam magna maximus ullamcorper sed est a nunc morbi maecenas, eleifend torquent nam. Ut imperdiet porta habitant erat proin at, vitae eu.","B","CAN;UK"
24,"F",64,"Neither Agree or Disagree","Disagree","Agree","Very Often","Never","Dignissim leo sed tempus et duis dictum lacus ac nisi dictum. Donec lorem euismod malesuada aenean egestas rutrum posuere iaculis mi. Orci tincidunt consequat ac, feugiat felis, orci. Finibus velit, urna aliquam habitasse venenatis dignissim suscipit. Nullam interdum a nascetur aliquet dictumst enim. In mauris integer congue, auctor eu non. Eget et, sit conubia ante. Hendrerit parturient himenaeos magna vulputate ut, eu vitae, sagittis himenaeos. Ipsum nam ac eleifend non metus non mollis.","Lacus amet tortor et senectus massa, class nunc donec, dignissim mauris. Lacinia lorem sed scelerisque nisl in class sapien. Maecenas mauris donec pulvinar eu. Orci adipiscing ut rutrum diam porta sit a senectus ex arcu tincidunt porta tempor. Facilisis ultricies lectus ultrices aliquet in tempus risus suspendisse erat sollicitudin lobortis quis tellus. Iaculis scelerisque et consequat est arcu nec, at, natoque in amet. Vestibulum, ante ante venenatis dis nostra cursus suspendisse. Finibus a dolor hendrerit neque nostra sed eget.","Strongly Agree","UK"
