"id","gender","age","agree1","agree2","agree3","often1","often2","open1","open2","other","multi","factor"
11,"F",41,"Strongly Agree","Disagree","Strongly Agree","Often","Rarely","Sed cubilia in enim ac. Suspendisse viverra nulla tellus. Imperdiet suspendisse, nascetur non dapibus congue dui ligula posuere eros. Pellentesque odio luctus sed ante sed nascetur, at? Nibh penatibus potenti porta nunc ridiculus pharetra. Cursus adipiscing tortor, sed pretium porttitor eget. Gravida, faucibus magna et vulputate fusce augue consectetur lorem. Non eros rhoncus risus et eget. Fusce sed tortor, eu ex mauris elementum in ipsum. Vel nullam maximus convallis volutpat potenti mauris non.","Elementum neque suscipit urna, vel sed, tincidunt ut, vel tortor praesent. Fusce tempor porta posuere feugiat luctus nec nunc at. Vel, maximus non sed morbi metus at. Eleifend non habitasse, nisi sagittis turpis in class pulvinar sit metus. Porta elementum tincidunt placerat mauris urna auctor mi. Posuere tristique metus adipiscing, commodo hac hendrerit enim, habitasse. Hendrerit cum a quam, ad eros sit dis vestibulum ac maecenas arcu ac ante. Donec, quis libero in elementum primis adipiscing conubia. Libero eget, et nec, efficitur, cubilia nostra sed bibendum in neque curabitur. Rhoncus sed lectus himenaeos consequat magna nibh platea libero urna in nulla.","B","US","opt3"
12,"M",57,"Strongly Disagree","Neither Agree or Disagree","Strongly Agree","Never","Often","Blandit, elit per sed aliquet venenatis aptent eu. Netus duis, nulla, arcu. Mi blandit, hendrerit ipsum sapien suspendisse. Lectus non habitasse ullamcorper ac erat adipiscing sit luctus at et. Sed tortor et, odio nunc sed venenatis nec. Pretium tempor lacinia vel. Platea vivamus dolor gravida, quisque sit aenean accumsan. Et a ac lobortis et vestibulum lobortis. Amet, ut curabitur, ex. Ipsum ut augue ipsum curabitur, in vivamus venenatis. Varius pharetra, posuere et pretium ac pulvinar nam aptent ex.","Nec viverra dui sem malesuada interdum. Amet morbi dui elementum nunc in. Eget scelerisque a. Ultrices curae, imperdiet felis rutrum malesuada curae non blandit ex velit. Porta nullam id est, augue nunc metus dictum fusce nascetur, tortor. Dui ante pharetra montes et dis pharetra lectus enim varius luctus placerat. Auctor vitae aliquam varius viverra sollicitudin sed enim sodales porta. Nec gravida taciti ut ut morbi tincidunt ac nec ac. Imperdiet id sem dictumst nec et, praesent nunc. Et at, hac amet et est est id conubia velit. Fermentum etiam, odio et faucibus aenean at sit sociis.","Disagree","US","opt1"
13,"M",57,"Neither Agree or Disagree","Disagree","Agree","Very Often","Rarely","Ullamcorper leo ut adipiscing fringilla in curabitur justo. Vehicula habitasse et elit, per facilisi eu praesent mattis. Felis non conubia nascetur pretium eget fames aenean, a risus nec. Scelerisque nisl varius quis in tincidunt. Adipiscing lacus habitant posuere euismod ultricies per parturient, convallis. Et felis iaculis eros sit donec eu ac lacinia. A libero. Ac convallis ultrices dolor magna suscipit. Habitasse tincidunt.","Ornare ac mi laoreet. Elementum a risus eu cubilia vel a id, sed. Ad dolor etiam senectus habitant. Condimentum aliquam suspendisse accumsan ipsum malesuada magna tempus tincidunt ipsum. Non sem aliquam eu nibh ullamcorper, sed nec dictum ipsum. Dui massa metus velit, est luctus vel lectus ut est ut. Ligula augue ex maximus dui arcu nunc rhoncus tristique vestibulum, aliquam velit et quis. Amet conubia hendrerit purus tortor sed pellentesque blandit! Cras purus sapien nisl ridiculus non, adipiscing id euismod dignissim feugiat sagittis. Mauris id nec mauris vel iaculis, in convallis maecenas netus ut elementum quisque. Maecenas varius nec tempor magnis lobortis curabitur in quisque pretium sem. Volutpat feugiat phasellus non ornare, sed venenatis sit et aliquet. Magnis quam dis donec, ultrices, in. Posuere lobortis sed nibh sed diam.","B","MEX;UK","opt1"
14,"M",58,"Agree","Strongly Agree","Agree","Often","Sometimes","Cubilia tincidunt pulvinar neque porttitor, enim conubia amet diam. Risus in erat ac integer. Amet potenti, lorem, luctus aptent nostra sed. Sed vitae phasellus bibendum eu vehicula. Lobortis quam eu pulvinar ac dapibus, ultricies habitant sociis, egestas. Nec mattis sapien mi in tincidunt vivamus. Curabitur metus sociis, lacus. Nibh nulla tempor eget pellentesque, habitasse in et vel dolor in sociosqu sit. Nulla pellentesque ut pharetra massa aptent eleifend neque laoreet suspendisse egestas ultrices sagittis. A erat phasellus dolor curabitur.","Tempor maximus volutpat auctor est aliquet id. In fermentum dapibus pharetra, dui, turpis erat euismod tortor maximus sed! Sed quis ipsum at nec ultrices vitae himenaeos et. Eget lacus euismod massa, semper per ex ultricies. Justo, egestas class nibh purus elementum dolor, velit, ac ut, aliquam. Congue tempor rutrum phasellus himenaeos conubia arcu augue, semper at sed sed quis nunc porta eros. At aliquet sed sem penatibus. Platea ligula amet lorem, facilisis nunc.","A","CAN;US","opt2"
15,"F",33,"Neither Agree or Disagree","Strongly Disagree","Strongly Agree","Very Often","Never","Diam finibus ligula quis et massa vehicula molestie ut. Amet at nascetur nostra non ex. Vehicula aptent libero eu dapibus sociis arcu. Sed risus risus lectus sed in nibh risus ad, metus. Nec lacinia. In sed nec eget a, lobortis, eros euismod potenti? Auctor ad nunc nec molestie nisl consectetur et iaculis nunc scelerisque eu metus non. Urna in non tempus nisi laoreet ut risus nulla. Maecenas dolor tristique sit in malesuada lectus donec fermentum. Dolor iaculis, id tellus dolor egestas magna cursus in. Libero ut sodales volutpat non placerat elementum bibendum himenaeos blandit, sagittis. Purus, at varius nibh eget ligula.","Amet, vulputate nulla non ex tellus lacinia. Id nec ultricies ornare ante curabitur, sed tincidunt massa molestie viverra sociosqu! Natoque ullamcorper ante est sed. Aliquam rutrum semper torquent nec pellentesque duis, vel. Ut, convallis varius. Urna pulvinar vel nec consequat, donec. Sociis nec lorem tincidunt, et in, penatibus. Tellus vel, malesuada nunc vehicula adipiscing ipsum, dolor. Sollicitudin sapien, ut, vivamus eget sed eleifend libero. Finibus vel nisl mi tempus faucibus vitae. Ac donec tempor in sapien, nulla odio! Facilisis eu tempus, augue magna condimentum faucibus egestas urna, ut. Est potenti facilisi non, sed imperdiet. Pulvinar sollicitudin scelerisque, imperdiet aenean primis sed phasellus cursus faucibus! Cursus non vel nunc rutrum augue metus nostra. Arcu mollis, erat justo torquent quis taciti vestibulum non.","Neither Agree or Disagree","MEX;CAN;UK","opt1"
16,"M",37,"Agree",NA,"Strongly Disagree","Very Often","Rarely","Metus eu non mollis et in ut, amet magna. Metus et fringilla eu arcu orci varius nulla montes. Ut aliquam nisl aenean vitae nec erat est torquent. Auctor ultricies ac lacinia finibus malesuada aliquam, pharetra phasellus consectetur. Dui penatibus lectus lobortis ultrices ante. Dolor nisl ligula quam elit! Parturient, nec convallis enim et non sit sit. Sem, fermentum, et sem nec penatibus. Dignissim nostra sollicitudin magnis nisi non dolor mattis inceptos sociis laoreet faucibus. Neque amet aliquam ut volutpat.","Non orci efficitur sit, neque, cursus quis leo cum. Tempor volutpat nec at eget turpis mus. Amet, ante, aliquet purus ultrices. Nec ac nascetur. Odio at ornare sed. Ullamcorper vestibulum eu tempus in et egestas dui erat purus. Tortor accumsan cum non mauris vitae ut. Nulla sodales dictum faucibus. Tristique in in tempor eget leo, laoreet, sodales ante cum sem rhoncus. Leo varius eros eros in etiam.","B","MEX","opt4"
17,"M",44,"Neither Agree or Disagree","Strongly Disagree","Strongly Agree","Often","Never","Ut quis maximus eget. Risus sed eu, amet penatibus cras. Ullamcorper ut porttitor eu in morbi. Ac lectus semper non varius. Cursus quam aliquam eu convallis pretium nam sed sed aenean elementum. Tortor ac imperdiet metus vestibulum velit vel. Ut diam, in. Volutpat auctor tortor dignissim mollis suscipit ligula consectetur tempor ac imperdiet. Rutrum porttitor, sociosqu. Justo justo, aliquam, non conubia, leo et torquent ut fusce, curabitur. Ut sed vel posuere ante nascetur nulla, sed nostra mi. Sapien laoreet fermentum sed convallis, lectus facilisis tincidunt primis himenaeos malesuada senectus. Eu porttitor gravida et, turpis in ut neque purus eget augue ipsum ex. At mi, sapien sed aliquet semper, lacus. Sed maecenas scelerisque in sagittis nec nisi conubia augue, pellentesque penatibus aptent quis.","Tincidunt nulla inceptos, sed nec sed arcu non. Venenatis penatibus interdum nam lacinia. Auctor ultrices id, vitae primis ante sed leo at vestibulum mi, eget ligula. Odio eget vestibulum, mauris lobortis ac accumsan nunc non ridiculus dictumst. Sed urna mauris erat ac. Curae quam ut velit quam ac felis cursus! Leo sed, orci maecenas turpis et, eget sem mauris. Ut lacus, justo, volutpat at non sem id ante nunc luctus orci. Class imperdiet molestie diam accumsan.","Neither Agree or Disagree","US;UK;CAN","opt1"
18,"F",21,"Strongly Disagree","Strongly Agree","Strongly Disagree","Rarely","Often","Eleifend suscipit fames, dolor accumsan nullam. Enim, ad sed pulvinar feugiat volutpat vehicula sed neque nulla, commodo? Conubia posuere et molestie viverra dui eu ut sodales rutrum sodales. Nisi dapibus efficitur nunc dui est nulla rutrum. Ridiculus justo amet ligula. Scelerisque nunc, nulla sed sagittis ad class quis. Accumsan ac quam sed sed litora sed sodales ut. Risus praesent, vivamus ante senectus sed. Volutpat ut feugiat, amet ac faucibus lectus quis sem. Ad mauris netus. Penatibus vel id taciti vehicula magna sed. In nec non risus pellentesque est urna vestibulum aliquet placerat purus, ut curae porta. Porttitor per maximus eget et et. Per luctus ante class mauris! Ullamcorper sit ipsum libero et enim at a mattis cubilia. Efficitur mauris faucibus tempor mi.","Vulputate ut lorem conubia faucibus at vel mi nulla? Pellentesque, sed arcu porttitor consequat consequat est nulla ut dui interdum. Potenti quis, tortor dictum eu quis! Odio pulvinar pharetra sapien aliquam, sed, vel inceptos tempus mauris. Ut mi mus maecenas et donec ad in suscipit, curabitur. Torquent a in. Orci praesent faucibus quis diam dui sapien egestas ipsum amet. Tempor ante pharetra turpis quam.","A","MEX","opt2"
19,"F",62,"Neither Agree or Disagree","Strongly Disagree","Disagree","Often","Often","Curabitur egestas ut ut porttitor cursus, ac lectus? Ut et adipiscing maximus, nisl congue, consectetur mauris. Sapien curabitur lectus est erat ornare fames nullam. Sit faucibus rutrum nulla velit pellentesque fames. Convallis vitae ut, magnis nisl, sapien velit, euismod, mauris condimentum augue, placerat vel nullam facilisis euismod. Auctor sollicitudin tincidunt lobortis ridiculus quis, lobortis sit lacus aenean aenean netus. Ultrices, sed lacinia sed, malesuada. Turpis erat aliquet lorem enim tristique auctor sodales amet.","Semper sed praesent auctor accumsan, hac commodo sed, integer aenean sagittis. Diam convallis diam quis ipsum vivamus eget sit eu. Finibus sit viverra. Vestibulum dolor id porttitor nibh mauris ex eros et eleifend est. Ligula non ac ante. Nulla orci magna, molestie a arcu ut vestibulum, lobortis in. Amet magnis dictumst quisque nibh. At accumsan in venenatis iaculis, non posuere felis. Turpis accumsan diam aenean taciti eros amet ac in, quis interdum sed! Sed ac faucibus, natoque semper nec nibh aliquam. Aliquam justo amet ipsum inceptos convallis ut.","Neither Agree or Disagree","","opt1"
20,"F",48,"Disagree","Strongly Agree","Neither Agree or Disagree","Sometimes","Often","Mollis, eget, vel, sapien odio dignissim ipsum nascetur mus libero magnis sed, torquent. Lacus pharetra est duis ac eu ligula cubilia nostra! Consectetur nibh habitant sed odio posuere ullamcorper auctor velit laoreet. Nostra placerat consectetur amet, non sed leo libero sed id mauris. Tempor eros mollis convallis tristique venenatis tristique, ut rutrum cras. Nullam bibendum sollicitudin magnis. Metus sed sit in semper elementum cursus dictumst nulla. Tellus, sollicitudin fames parturient condimentum, scelerisque. Et id sem eu at pellentesque vel sollicitudin sit id nulla. Amet egestas nisi sed vehicula metus et. Elit cubilia hac aptent mi. At malesuada eget amet et quam mi varius, est curabitur. Nisi, nec sed maximus, potenti in. Iaculis sed facilisi in.","Neque vel sed placerat sed vitae sed vel facilisi. Magna tempor, fusce malesuada ac id lacus facilisis, vivamus magna. Id, ac, velit amet justo ut, sit duis vivamus. Nibh vitae id eu velit in, varius, feugiat ligula? Malesuada metus libero porta curae volutpat suspendisse tortor, auctor commodo pharetra orci facilisis. Scelerisque sed nisi facilisis vitae et. Maximus pellentesque erat phasellus enim non, erat elit tincidunt eros purus vitae. Curabitur arcu sed convallis sed erat nibh justo amet egestas. Nec lacus velit, est adipiscing natoque porttitor. Sed vitae phasellus nibh volutpat nisl eu nam et sed. Mi nunc sit fusce venenatis erat sed penatibus quam. Augue ipsum, mauris non per consequat aptent fusce, at.","A","","opt3"
21,"F",22,"Disagree","Neither Agree or Disagree","Strongly Disagree","Rarely","Often","Neque eu nulla vehicula, et, vestibulum vel sollicitudin eu. Sem sed sociis phasellus aliquam sapien dictumst eget in pharetra? Vulputate fusce sed, magna auctor, sed, aliquet. Nunc, lobortis magna feugiat molestie nunc morbi, vel id dignissim tempus, habitasse, lectus. Tellus sed ultrices in malesuada ac ut, pretium. Felis in placerat egestas sagittis lacus pellentesque. Est condimentum cum, auctor curae.","Ipsum interdum fermentum, et in, dui tempus adipiscing facilisis gravida. Duis fermentum sed dictum, ridiculus lobortis taciti maecenas porta, at posuere feugiat, dolor. Massa mus praesent et sed magna dictumst quis. Porttitor, aliquam, dignissim lobortis dui sodales, ac eleifend mi porttitor. Luctus eu enim pharetra eu? Hac ultrices massa at blandit. Diam, in platea nec dolor malesuada mollis. Eu, elit, amet mauris blandit nibh adipiscing, sed velit nascetur ut odio. Consectetur porta. Dictum netus cubilia a dui, et et. Nec posuere aliquam purus, potenti non sed urna. Dui nunc sed tincidunt vel et, senectus habitant.","A","","opt2"
22,"F",54,"Disagree","Disagree","Neither Agree or Disagree","Very Often","Rarely","Dictum ante semper elementum ipsum sodales gravida egestas. Eleifend imperdiet pellentesque commodo, duis feugiat sed etiam tempor imperdiet egestas faucibus. Dapibus, vulputate. Nec, massa at habitasse vestibulum sed. Dolor ullamcorper sed purus imperdiet volutpat fames. Sed vel laoreet pulvinar sapien, id pretium sed. Suspendisse praesent ut tincidunt eu eu eros duis proin tincidunt et nullam. Et viverra malesuada consectetur sem fames lacinia. Egestas eu orci sed eu fusce ipsum nibh. A platea sem elementum non nec felis urna in at. Sed metus ultrices, potenti sodales cubilia sed eu. Nulla, odio placerat. Etiam etiam lacus non eu porttitor eget. Vivamus nibh et magnis aliquam torquent taciti, ac sapien luctus integer. Sodales potenti a nec.","Volutpat dapibus morbi, tempus dolor luctus eget auctor. Quam etiam suscipit enim egestas, aenean et. Mus luctus vel lacus id. Sed proin facilisis accumsan, interdum. Nec quam donec sem ultricies eleifend? Nam litora mauris tortor cursus. Maecenas pellentesque malesuada non sodales nunc a cubilia, mauris pretium penatibus vehicula purus. Consequat dis senectus nulla. Tempus faucibus aliquam, urna ligula nunc tortor in conubia.","Strongly Disagree","CAN;UK;MEX","opt1"
23,"M",63,"Strongly Agree","Neither Agree or Disagree","Disagree","Very Often","Sometimes","Nec varius malesuada ac sit tristique ante mus quis laoreet. Habitasse laoreet at ullamcorper iaculis metus ultrices lacus. Neque netus non ut dolor eget quis amet fermentum. At sed sapien eros imperdiet turpis vitae in tristique varius eu aptent. Libero aliquam vivamus nascetur? Ut dictumst justo faucibus, volutpat, nisi at dignissim etiam sociosqu nisl. Imperdiet mus quam et, nunc dictum efficitur massa sed. Quisque fermentum lorem eget, dui. Eu augue at elit turpis. Mollis cubilia integer laoreet nibh a auctor. Eget et id mauris maximus cursus. Vestibulum magna vestibulum sed nunc platea. Ut est faucibus, gravida ac, in potenti tristique sed, vulputate torquent dictum convallis. Id donec amet nunc ante metus, eu.","Quis vehicula non. Pellentesque nibh condimentum hendrerit iaculis habitant ornare. Ipsum magnis, sed eu. Vestibulum diam, in dictumst facilisis purus augue. Tempor velit augue dolor, quis, vehicula mi, iaculis dolor ut. Efficitur faucibus lobortis etiam nunc eros interdum facilisi elit. In sed litora id finibus quis amet eleifend ut vitae arcu et. Finibus tempus vel, ante vestibulum pellentesque non pharetra metus. Ut tellus vestibulum varius arcu lacus purus, eleifend purus fames. Ultricies in, elit lorem mauris ac eu, tincidunt. Condimentum commodo vitae sed, ac rutrum dolor. Condimentum mi est velit amet dapibus nibh nec interdum. Et ut dolor ex mattis potenti tortor.","A","MEX;CAN;UK","opt2"
